"Financial Report"

"Spot"

"Currency";"Maturity";"Deal Id";"Pair";"Amount";"P/L Currency";"P/L Local";"P/L Report"
"USD";"Maturity < 1M";"PEN_CAP_SPT:340028";"EUR/USD";-1200002.00000000;-1199756.17049764;-999796.80874804;-999796.80874804
"USD";"Maturity < 1M";"VAL_CAP_SPT:340231";"EUR/USD";-1200000.00000000;-1199756.17049764;-999796.80874804;-999796.80874804
"USD";"Maturity < 1M";"VAL_CAP_SPT:340412";"EUR/USD";-1190000.00000000;-1189758.20241016;-991465.16867514;-991465.16867514


"USD";"Maturity < 1M";"";"";"";-7865001.57569729;-6554167.97974775;-6554167.97974775

"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340390";"USD/EUR";1202.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340391";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340392";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340393";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340406";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_IMP_SPT:340407";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652
"USD";"Maturity >= 5Y";"VAL_CAP_SPT:340408";"USD/EUR";1200.00000000;995.79117182;829.82597652;829.82597652

"USD";"Maturity >= 5Y";"";"";"";6970.53820274;5808.78183561;5808.78183561


"USD";"Total";"";"";"";-7858031.03749456;-6548359.19791213;-6548359.19791213

"EUR";"Maturity < 1M";"PEN_CAP_SPT:340028";"EUR/USD";1000000.00000000;999883.89899953;999883.89899953;999883.89899953
"EUR";"Maturity < 1M";"VAL_CAP_SPT:340231";"EUR/USD";1000000.00000000;999883.89899953;999883.89899953;999883.89899953
"EUR";"Maturity < 1M";"VAL_CAP_SPT:340412";"EUR/USD";1000000.00000000;999883.89899953;999883.89899953;999883.89899953
"EUR";"Maturity < 1M";"VAL_CAP_SPT:340420";"EUR/USD";1500000.00000000;1499825.84849929;1499825.84849929;1499825.84849929
"EUR";"Maturity < 1M";"PEN_CAP_SPT:340454";"EUR/USD";1000000.00000000;999883.89899953;999883.89899953;999883.89899953
"EUR";"Maturity < 1M";"PEN_CAP_SPT:340473";"EUR/USD";1000000.00000000;999883.89899953;999883.89899953;999883.89899953

"EUR";"Maturity < 1M";"";"";"";6499245.34349692;6499245.34349692;6499245.34349692

"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340390";"USD/EUR";-1800.00000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340391";"USD/EUR";-1800.10000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340392";"USD/EUR";-1800.10000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340393";"USD/EUR";-1800.10000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340406";"USD/EUR";-1800.10000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_IMP_SPT:340407";"USD/EUR";-1800.10000000;-1256.02513419;-1256.02513419;-1256.02513419
"EUR";"Maturity >= 5Y";"VAL_CAP_SPT:340408";"USD/EUR";-1800.10000000;-21256.02513419;-21256.02513419;-21256.02513419

"EUR";"Maturity >= 5Y";"";"";"";-28792.17593933;-28792.17593933;-28792.17593933


"EUR";"Total";"";"";"";6470453.16755759;6470453.16755759;6470453.16755759


"Total";"";"";"";"";-77906.03035454;-77906.03035454;-77906.03035454


"Total EUR = -77,906.03"
